class_name,tool,budget_min,execution_status,branch_covered,branch_total,branch_coverage_pct,mutation_killed,mutation_total,mutation_score_pct,mutation_technical_exclusion,measurement_timestamp
LARGEST_SMALLEST_INTEGERS,EvoSuite,5,PASS,10,10,100.000000,10,10,100.000000,0,2026-07-16T09:24:54.627700+00:00
LONGEST,EvoSuite,5,PASS,8,8,100.000000,4,5,80.000000,0,2026-07-16T09:24:54.627700+00:00
MAKE_PALINDROME,EvoSuite,5,PASS,10,10,100.000000,15,15,100.000000,0,2026-07-16T09:24:54.627700+00:00
MATCH_PARENS,EvoSuite,5,PASS,12,12,100.000000,13,14,92.857143,0,2026-07-16T09:24:54.627700+00:00
MIN_PATH,EvoSuite,5,PASS,18,18,100.000000,19,25,76.000000,0,2026-07-16T09:24:54.627700+00:00
MIN_SUBARRAY_SUM,EvoSuite,5,PASS,8,8,100.000000,9,11,81.818182,0,2026-07-16T09:24:54.627700+00:00
MOVE_ONE_BALL,EvoSuite,5,PASS,14,14,100.000000,15,17,88.235294,0,2026-07-16T09:24:54.627700+00:00
NUMERICAL_LETTER_GRADE,EvoSuite,5,PASS,26,26,100.000000,3,26,11.538462,0,2026-07-16T09:24:54.627700+00:00
ORDER_BY_POINTS,EvoSuite,5,PASS,14,14,100.000000,10,21,47.619048,0,2026-07-16T09:24:54.627700+00:00
PLUCK,EvoSuite,5,PASS,8,8,100.000000,9,10,90.000000,0,2026-07-16T09:24:54.627700+00:00
PRIME_FIB,EvoSuite,5,PASS,10,10,100.000000,0,0,0.000000,1,2026-07-16T09:24:54.627700+00:00
PROD_SIGNS,EvoSuite,5,PASS,10,10,100.000000,13,15,86.666667,0,2026-07-16T09:24:54.627700+00:00
REMOVE_DUPLICATES,EvoSuite,5,PASS,8,8,100.000000,4,4,100.000000,0,2026-07-16T09:24:54.627700+00:00
REMOVE_VOWELS,EvoSuite,5,PASS,12,12,100.000000,6,6,100.000000,0,2026-07-16T09:24:54.627700+00:00
RESCALE_TO_UNIT,EvoSuite,5,PASS,8,8,100.000000,10,12,83.333333,0,2026-07-16T09:24:54.627700+00:00
SEARCH,EvoSuite,5,PASS,12,12,100.000000,11,13,84.615385,0,2026-07-16T09:24:54.627700+00:00
SELECT_WORDS,EvoSuite,5,PASS,12,12,100.000000,13,14,92.857143,0,2026-07-16T09:24:54.627700+00:00
SEPARATE_PAREN_GROUPS,EvoSuite,5,PASS,8,8,100.000000,6,6,100.000000,0,2026-07-16T09:24:54.627700+00:00
SKJKASDKD,EvoSuite,5,PASS,12,12,100.000000,15,17,88.235294,0,2026-07-16T09:24:54.627700+00:00
SOLVE_STRING,EvoSuite,5,PASS,10,10,100.000000,8,8,100.000000,0,2026-07-16T09:24:54.627700+00:00
SORT_ARRAY_BINARY,EvoSuite,5,PASS,4,4,100.000000,9,11,81.818182,0,2026-07-16T09:24:54.627700+00:00
SPECIAL_FILTER,EvoSuite,5,PASS,8,8,100.000000,8,9,88.888889,0,2026-07-16T09:24:54.627700+00:00
SPLIT_WORDS,EvoSuite,5,PASS,10,10,100.000000,7,13,53.846154,0,2026-07-16T09:24:54.627700+00:00
STRONGEST_EXTENSION,EvoSuite,5,PASS,10,10,100.000000,5,10,50.000000,0,2026-07-16T09:24:54.627700+00:00
TRIPLES_SUM_TO_ZERO,EvoSuite,5,PASS,8,8,100.000000,11,15,73.333333,0,2026-07-16T09:24:54.627700+00:00
UNIQUE_DIGITS,EvoSuite,5,PASS,8,8,100.000000,8,9,88.888889,0,2026-07-16T09:24:54.627700+00:00
VALID_DATE,EvoSuite,5,PASS,27,28,96.428571,28,32,87.500000,0,2026-07-16T09:24:54.627700+00:00
VOWELS_COUNT,EvoSuite,5,PASS,26,26,100.000000,17,17,100.000000,0,2026-07-16T09:24:54.627700+00:00
WILL_IT_FLY,EvoSuite,5,PASS,8,8,100.000000,13,15,86.666667,0,2026-07-16T09:24:54.627700+00:00
WORDS_IN_SENTENCE,EvoSuite,5,PASS,11,12,91.666667,9,9,100.000000,0,2026-07-16T09:24:54.627700+00:00
WORDS_STRINGS,EvoSuite,5,PASS,10,10,100.000000,5,5,100.000000,0,2026-07-16T09:24:54.627700+00:00
